network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude,accuracy_radius
2a02:e100::/29,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:e140::/29,798544,798544,,0,0,,52.0000,20.0000,100
2a02:e180::/29,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:e1c0::/29,2750405,2750405,,0,0,,52.5000,5.7500,100
2a02:e200::/30,2782113,2782113,,0,0,,47.3333,13.3333,100
2a02:e220::/30,102358,102358,,0,0,,25.0000,45.0000,100
2a02:e240::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:e280::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:e2c0::/29,3175395,3175395,,0,0,,42.8333,12.8333,100
2a02:e300::/29,630336,630336,,0,0,,53.0000,28.0000,100
2a02:e340::/29,3144096,3144096,,0,0,,62.0000,10.0000,100
2a02:e380::/29,3175395,3175395,,0,0,,42.8333,12.8333,100
2a02:e3c0::/29,3017382,3017382,,0,0,,46.0000,2.0000,100
2a02:e400::/29,2661886,2661886,,0,0,,62.0000,15.0000,100
2a02:e440::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:e480::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:e4c0::/29,2750405,2750405,,0,0,,52.5000,5.7500,100
2a02:e500::/29,3017382,3017382,,0,0,,46.0000,2.0000,100
2a02:e540::/29,6290252,6290252,,0,0,,44.8189,20.4600,100
2a02:e580::/29,3144096,3144096,,0,0,,62.0000,10.0000,100
2a02:e5c0::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:e600::/30,3017382,3017382,,0,0,,46.0000,2.0000,100
2a02:e620::/30,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:e640::/29,3017382,3017382,,0,0,,46.0000,2.0000,100
2a02:e680::/29,248816,248816,,0,0,,31.0000,36.0000,100
2a02:e6c0::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:e700::/29,2215636,2215636,,0,0,,28.0000,17.0000,100
2a02:e740::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:e780::/29,298795,298795,,0,0,,39.0590,34.9115,100
2a02:e7c0::/29,798544,798544,,0,0,,52.0000,20.0000,100
2a02:e800::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:e840::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:e880::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:e900::/29,2963597,2963597,,0,0,,53.0000,-8.0000,100
2a02:e940::/29,798549,798549,,0,0,,46.0000,25.0000,100
2a02:e980::/29,294640,294640,,0,0,,31.5000,34.7500,100
2a02:e9c0::/29,2661886,2661886,,0,0,,62.0000,15.0000,100
2a02:ea00::/29,2658434,2658434,,0,0,,47.0002,8.0143,100
2a02:ea40::/29,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:ea80::/29,798544,798544,,0,0,,52.0000,20.0000,100
2a02:eac0::/29,798544,798544,,0,0,,52.0000,20.0000,100
2a02:eb00::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:eb40::/29,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:eb80::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:ebc0::/29,3017382,3017382,,0,0,,46.0000,2.0000,100
2a02:ec00::/29,3017382,3017382,,0,0,,46.0000,2.0000,100
2a02:ec40::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:ec80::/29,6255148,,,0,0,,48.6910,9.1406,100
2a02:ecc0::/29,587116,587116,,0,0,,40.5000,47.5000,100
2a02:ed00::/29,3144096,3144096,,0,0,,62.0000,10.0000,100
2a02:ed40::/29,298795,298795,,0,0,,39.0590,34.9115,100
2a02:ed80::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:edc0::/29,102358,102358,,0,0,,25.0000,45.0000,100
2a02:ee00::/29,690791,690791,,0,0,,49.0000,32.0000,100
2a02:ee40::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:ee80::/29,2750405,2750405,,0,0,,52.5000,5.7500,100
2a02:eec0::/29,2661886,2661886,,0,0,,62.0000,15.0000,100
2a02:ef00::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:ef40::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:ef80::/29,298795,298795,,0,0,,39.0590,34.9115,100
2a02:efc0::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:f000::/29,3077311,3077311,,0,0,,49.7500,15.0000,100
2a02:f040::/29,290291,290291,,0,0,,26.0000,50.5000,100
2a02:f080::/30,690791,690791,,0,0,,49.0000,32.0000,100
2a02:f0a0::/30,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:f0c0::/29,248816,248816,,0,0,,31.0000,36.0000,100
2a02:f100::/29,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:f140::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:f180::/29,3017382,3017382,,0,0,,46.0000,2.0000,100
2a02:f1c0::/29,690791,690791,,0,0,,49.0000,32.0000,100
2a02:f200::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:f240::/29,130758,130758,,0,0,,32.0000,53.0000,100
2a02:f280::/29,3017382,3017382,,0,0,,46.0000,2.0000,100
2a02:f2c0::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:f300::/29,3144096,3144096,,0,0,,62.0000,10.0000,100
2a02:f340::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:f380::/29,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:f3c0::/29,798544,798544,,0,0,,52.0000,20.0000,100
2a02:f400::/29,290557,290557,,0,0,,24.0000,54.0000,100
2a02:f440::/29,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:f480::/29,3144096,3144096,,0,0,,62.0000,10.0000,100
2a02:f4c0::/29,2510769,2510769,,0,0,,40.0000,-4.0000,100
2a02:f500::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:f540::/30,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:f560::/30,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:f580::/29,174982,174982,,0,0,,40.0000,45.0000,100
2a02:f5c0::/29,2750405,2750405,,0,0,,52.5000,5.7500,100
2a02:f600::/29,2750405,2750405,,0,0,,52.5000,5.7500,100
2a02:f640::/29,2750405,2750405,,0,0,,52.5000,5.7500,100
2a02:f680::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:f6c0::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:f700::/29,272103,272103,,0,0,,33.8333,35.8333,100
2a02:f740::/29,798544,798544,,0,0,,52.0000,20.0000,100
2a02:f780::/29,2661886,2661886,,0,0,,62.0000,15.0000,100
2a02:f7c0::/29,798544,798544,,0,0,,52.0000,20.0000,100
2a02:f800::/29,2017370,2017370,,0,0,,60.0000,100.0000,100
2a02:f840::/29,2750405,2750405,,0,0,,52.5000,5.7500,100
2a02:f880::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:f8c0::/29,798544,798544,,0,0,,52.0000,20.0000,100
2a02:f900::/29,130758,130758,,0,0,,32.0000,53.0000,100
2a02:f940::/29,719819,719819,,0,0,,47.0000,20.0000,100
2a02:f980::/29,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:f9c0::/29,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:fa00::/29,102358,102358,,0,0,,25.0000,45.0000,100
2a02:fa40::/29,298795,298795,,0,0,,39.0590,34.9115,100
2a02:fa80::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:fac0::/29,798544,798544,,0,0,,52.0000,20.0000,100
2a02:fb00::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:fb40::/29,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:fb80::/29,3175395,3175395,,0,0,,42.8333,12.8333,100
2a02:fbc0::/29,798544,798544,,0,0,,52.0000,20.0000,100
2a02:fc00::/29,2661886,2661886,,0,0,,62.0000,15.0000,100
2a02:fc40::/29,2623032,2623032,,0,0,,56.0000,10.0000,100
2a02:fc80::/29,3144096,3144096,,0,0,,62.0000,10.0000,100
2a02:fcc0::/29,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:fd00::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:fd40::/29,3175395,3175395,,0,0,,42.8333,12.8333,100
2a02:fd80::/29,2623032,2623032,,0,0,,56.0000,10.0000,100
2a02:fdc0::/29,2782113,2782113,,0,0,,47.3333,13.3333,100
2a02:fe00::/29,2750405,2750405,,0,0,,52.5000,5.7500,100
2a02:fe40::/29,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:fe80::/29,3175395,3175395,,0,0,,42.8333,12.8333,100
2a02:fec0::/29,2635167,2635167,,0,0,,54.7584,-2.6953,100
2a02:ff00::/29,3175395,3175395,,0,0,,42.8333,12.8333,100
2a02:ff40::/29,3042225,3042225,,0,0,,54.2500,-4.5000,100
2a02:ff80::/29,2921044,2921044,,0,0,,51.5000,10.5000,100
2a02:ffc0::/29,2411586,2411586,,0,0,,36.1333,-5.3500,100
